question,choices,answer,subject,explaination
How can automatic gain control be achieved in APD (avalanche photodiode) receivers?,"['By adjusting the bias voltage', 'By using an AGC amplifier', 'By applying feedback control', 'By varying the responsivity of the APD', 'All of the above']",4,Research publications,"Automatic gain control in APD receivers can be achieved through various techniques, such as adjusting the bias voltage, using an AGC amplifier, applying feedback control, and varying the responsivity of the APD."
What is the purpose of routers in an internet? [TCP/IP],"['To monitor all link aggregation groups', 'To communicate with different hosts connected to different networks', 'To send LACP frames', 'To exchange configuration information between systems', 'To connect networks together']",4,Standards overview,Routers are structuring elements with the task of connecting networks together in an internet.
What is done to reduce the quantization error on small-amplitude analog signal levels when encoding from PAM (pulse amplitude modulation) to PCM (pulse code modulation)?,"['Interleaving', 'Companding', 'Demultiplexing', 'Synchronous switching', 'Quantization']",1,Research publications,"To reduce the quantization error on small-amplitude analog signal levels when encoding from PAM to PCM, a mechanism called companding is used."
What are the characteristics of the Satellite-Terrestrial Integrated Network use case in 6G?,"['Extremely high peak data rates, experienced data rates, traffic capacity, coverage, and mobility', 'High reliability and ultra-high density of IIoT devices', 'Ultra-high data rates and very low latency', 'Fully immersive experiences through the three-dimensional (3D) projection of objects or people', 'Provides ubiquitous Internet coverage, edge caching and computing services, and more network access paths']",4,Research publications,"The Satellite-Terrestrial Integrated Network use case in 6G provides ubiquitous Internet coverage, edge caching and computing services, and more network access paths."
Which of the following is a strategy used in Online Continual Learning (OCL) to manage a memory buffer?,"['Removing less important training samples.', 'Editing the old training samples.', 'Retrieving the old training samples that are susceptible to interference.', 'All of the above.', 'None of the above.']",3,Research publications,"All of the listed options are strategies used in Online Continual Learning (OCL) to manage a memory buffer: removing less important training samples, editing the old training samples, and retrieving the old training samples that are susceptible to interference."
What is the maximum total output power?,"['The sum of the power of all carriers available at the BS antenna connector', 'The sum of the power of all UEs connected to the BS', 'The maximum power required for a handover', 'The maximum power required for a data transmission']",0,Lexicon,The maximum total output power refers to the sum of the power of all carriers available at the antenna connector for a specified reference condition.
What is the channel coding scheme used for transport blocks in LTE? [3GPP Release 17],"['Polar Coding', 'Convolutional Coding', 'Turbo Coding', 'Reed-Solomon Coding', 'Cyclic Redundancy Check']",2,Standards specifications,The channel coding scheme used for transport blocks in LTE is Turbo Coding.
What are metasurfaces composed of?,"['Three-dimensional arrays of scattering particles', 'Arrays of sub-wavelength scattering particles', 'Two-dimensional arrays of scattering particles', 'Arrays of nanoscale particles', 'Arrays of micron-scale particles']",2,Research publications,Metasurfaces are composed of two-dimensional arrays of sub-wavelength scattering particles.
What is the purpose of using chipping sequences in direct-sequence modulation? [IEEE 802.11],"['To encode high-level data', 'To transmit the RF carrier signal', ""To spread the signal's power over a wider bandwidth"", 'To recover the original signal from noise', 'To determine the encoding of each bit']",2,Standards overview,Chipping sequences in direct-sequence modulation spread the signal's power over a much wider bandwidth.
What is the advantage of using coordinated beamforming in Wi-Fi 8?,"['Improved security', 'Increased coverage', 'Reduced interference', 'Lower latency']",2,Research publications,The advantage of using coordinated beamforming in Wi-Fi 8 is reduced interference.
Which of the following is true about the hardware used in MEC (Mobile Edge Computing) and C-RAN?,"['MEC uses highly-capable computing servers while C-RAN uses small, heterogeneous nodes with moderate computing resources.', 'MEC uses small, heterogeneous nodes with moderate computing resources while C-RAN uses highly-capable computing servers.', 'Both MEC and C-RAN use highly-capable computing servers.', 'Both MEC and C-RAN use small, heterogeneous nodes with moderate computing resources.']",1,Research publications,"MEC nodes are smaller and have moderate computing resources, while C-RAN uses powerful computing servers."
What are the advantages of fog computing based RANs (F-RANs)?,"['Real-time collaboration radio signal processing (CRSP) and flexible cooperative radio resource management (CRRM) at the edge devices', 'Scalability and adaptability to dynamic traffic and radio environment', 'Low burden on the fronthaul and centralized baseband unit (BBU) pool', 'All of the above']",3,Research publications,"The document states that the advantages of fog computing based RANs (F-RANs) include real-time collaboration radio signal processing (CRSP) and flexible cooperative radio resource management (CRRM) at the edge devices, rapid and affordable scaling, adaptability to dynamic traffic and radio environment, and low burden on the fronthaul and centralized baseband unit (BBU) pool."
Why are cellular connectivity and reliable wireless communications between vehicles and road users essential in the transport sector?,"['To improve safety and security in cooperative intelligent transportation systems', 'To provide accurate positioning information for operation', 'To enable the digitization and connectivity of the transport sector', 'All of the above', 'None of the above']",3,Research publications,"Cellular connectivity and reliable wireless communications between vehicles and road users are essential in the transport sector to improve safety and security in cooperative intelligent transportation systems, provide accurate positioning information for operation, and enable the digitization and connectivity of the transport sector."
What are Fresnel's equations used to determine?,"['The phase velocities in different media', 'The relative directions of the incident, reflected, and transmitted waves', 'The angles of incidence and refraction', 'The amplitudes of the reflected and transmitted waves']",3,Research publications,Fresnel's equations give the amplitudes of the reflected and transmitted waves relative to the amplitude of the incident wave.
What are the requirements for industrial control in 6G networks?,"['Real-time operations with guaranteed ms delay jitter and Gbps peak data rates for AR/VR industrial applications', 'Reliability above 99.99999% and latency below 1 ms', 'Data rate above 4.32 Tbps and reliability above 99.99999%', 'Data rate above 1 Tbps and latency below 1 ms', 'Latency below 1 ms and reliability above 99.99999%']",0,Research publications,Industrial control in 6G networks requires real-time operations with guaranteed ms delay jitter and Gbps peak data rates for AR/VR industrial applications.
What is indirect-to-satellite IoT communication (ItS-IoT)?,"['IoT communication between end-devices and satellite directly', 'IoT communication between end-devices and gateways via satellite', 'IoT communication between end-devices and gateways via terrestrial networks', 'IoT communication between gateways and the core network directly']",1,Research publications,Indirect-to-satellite IoT communication (ItS-IoT) is the communication between end-devices and gateways via satellite.
Where is the Charging Trigger Function (CTF) located in the distributed CTF architecture for offline charging? [3GPP Release 18],"['UE', 'Network Element', 'Service Element', 'All of the above']",0,Standards specifications,"In the distributed CTF architecture, the Accounting Metrics Collection (AMC) function block of the CTF is located in the UE."
What is the loss in performance of non-coherent orthogonal modulation compared to coherent BPSK (Binary Phase Shift Keying) at high SNR (Signal-to-Noise Ratio)?,"['3 dB', '4 dB', '2 dB', '1.5 dB', '2.5 dB']",0,Research publications,Non-coherent orthogonal modulation has a 3 dB worse performance compared to coherent BPSK (cf. section on differential BPSK).
What is the advantage of ISAC (Integrated sensing and communications) over FDSAC (frequency-division sensing and communications) in terms of high-SNR slopes?,"['ISAC achieves larger high-SNR slopes than FDSAC', 'FDSAC achieves larger high-SNR slopes than ISAC', 'ISAC and FDSAC have the same high-SNR slopes', 'ISAC has a high-SNR slope of zero']",0,Research publications,"In terms of both CR and SR, ISAC achieves larger high-SNR slopes than FDSAC."
Which physical channel carries the uplink scheduling grant and the sidelink scheduling grant? [3GPP Release 17],"['PHICH', 'EPDCCH', 'MPDCCH', 'PDCCH']",3,Standards specifications,The physical downlink control channel (PDCCH) carries the uplink scheduling grant and the sidelink scheduling grant.
Which technology was developed as a low-power short-range solution within the IEEE 802.15.4 standard?,"['Bluetooth', 'WirelessHART', 'Z-Wave', 'KNX', 'Zigbee']",4,Research publications,Zigbee was developed as a low-power short-range solution within the IEEE 802.15.4 standard.
What is a service in the context of NFV (Network Function Virtualization)?,"['A virtualized implementation of a Network Function', 'A single Virtual Network Function deployed on multiple VMs', 'A functional block within a network infrastructure', 'An offering provided by a Telecommunication Service Provider composed of one or more NFs']",3,Research overview,"A service is an offering provided by a TSP that is composed of one or more NFs. In the case of NFV, the NFs that make up the service are virtualized and deployed on virtual resources such as a VM."
What is the purpose of deep learning-based MIMO detection?,"['Achieving high-resolution channel estimation', 'Encoding and decoding transmitted signals', 'Automatic modulation classification', 'Detecting and decoding MIMO signals', 'Optimizing channel estimation in OFDM systems']",3,Research publications,Deep learning-based MIMO detection is used for detecting and decoding MIMO signals.
What is the purpose of class D IP addresses? [TCP/IP],"['To assign unique numbers to network participants', 'To establish a connection between networks', 'To send multicast messages', 'To provide uniform addressing for information transportation']",2,Standards overview,Class D IP addresses are used to send multicast messages in a simple way.
What is the name given to modes with positive (negative) eigenvalues?,"['Inductive (capacitive)', 'Resonant (non-resonant)', 'Balanced (unbalanced)', 'Radiating (non-radiating)']",0,Research publications,"Modes with positive eigenvalues are referred to as inductive, while modes with negative eigenvalues are referred to as capacitive."
What is the purpose of IUC in NR Sidelink enhancement? [3GPP Release 17],"['To indicate QoS requirements', 'To enable inter-UE coordination', 'To support power saving', 'To provide relay selection', 'To handle network authorization']",1,Standards overview,"The purpose of IUC (Inter-UE Coordination) in NR Sidelink enhancement is to enable inter-UE coordination, where one UE sends coordination information to another UE for resource selection."
What is the purpose of the preparation phase in the network slicing lifecycle?,"['To schedule the service of a slice using reserved resources', 'To construct and configure network slices based on service requirements', 'To reserve network resources to slices for service provisioning', 'To collect extensive network information from underlying physical networks', 'To allocate network resources to end users in each slice']",1,Research publications,"The purpose of the preparation phase is to construct and configure network slices based on service requirements, data traffic, user information, and virtual network resource availability."
What is the scaling law for the maximum power received at the Rx in RF (radio-frequency) IRSs (intelligent reflecting surfaces)?,"['Linear scaling law', 'Cubic scaling law', 'Quadratic scaling law', 'Exponential scaling law']",2,Research publications,The maximum power received at the Rx in RF IRSs follows a quadratic scaling law with the number of IRS unit cells.
What is the main advantage of the sequence probability ratio test (SPRT)?,"['It requires fewer samples to achieve the same detection performance as fixed-sample-size testing methods', 'It achieves higher detection performance than other testing methods', 'It is less computationally complex than other testing methods', ""It can differentiate between primary users' signals and noises""]",0,Research overview,The main advantage of SPRT is that it requires fewer samples to achieve the same detection performance as fixed-sample-size testing methods.
What is the safety factor (SFL) for persons permitted in restricted environments? [IEEE C95.1],"['1.0', '3.0', '6.31', '9.0', '0.943']",1,Standards specifications,The safety factor (SFL) for persons permitted in restricted environments is 3.0.
What is the purpose of the Duration field in data frames? [IEEE 802.11],"['To indicate the number of frames buffered for a station', 'To set the time for which the medium is restricted', 'To specify the group bit for broadcast or multicast frames', 'To determine the setting for the Frame Control field']",1,Standards specifications,The Duration field in data frames is used to carry the value of the Network Allocation Vector (NAV) and restrict access to the medium for the specified time.
Which measurements are agreed to be introduced for SL Positioning using SL PRS measurements? [3GPP Release 18],"['SL RSRQ measurement', 'SL RTOA measurement', 'SL RSSI measurement', 'SL RSRP measurement', 'SL CQI measurement']",3,Standards specifications,The agreed measurements to be introduced for SL Positioning using SL PRS measurements include SL RSRP measurement.
"In the context of inter-slice switching, what procedure can enforce the removal of a slice from Allowed NSSAI with which the UE (User Equipment) has an active session?","['AMF Relocation', 'Registration', 'PDU Session Release', 'PDU Session Establishment', 'UE Configuration Update']",4,Standards overview,"In the context of inter-slice switching, the network/AMF can enforce the removal of a slice from Allowed NSSAI with which the UE has an active session through the UE Configuration Update procedure."
What is the ideal goal for integrating multiple types of wireless network technologies? ,"['To establish a single wireless network technology for all use cases', 'To reduce the cost of wireless network technologies', 'To prioritize mobile communication technologies over other wireless technologies', 'To create an ecosystem that supports a wider range of use cases', 'To limit the use of wireless network technologies to specific applications']",3,Research overview,"The document mentions that the ideal goal is to establish an ecosystem that can support a wider range of use cases in a user transparent manner, without making users aware of which wireless network technology they are using."
What is a limitation of tethering the drone to a ground station?,"['Transfers power to the drone', 'Provides a reliable backhaul to the drone', 'Limits mobility', 'Increases the cost of the solution', 'Requires multiple charging stations']",2,Research publications,"Tethering the drone limits its mobility and can affect its performance, especially for wireless coverage improvement missions."
What does the combining vector in ZF (Zero Forcing) combining represent?,"['Desired signal gain of each UE', 'Interference caused by each UE', 'Total received signal power', 'Whitened signal power', 'Interference suppression']",1,Research publications,"The (k,i)th element of the combining vector in ZF combining represents the interference that UEk causes to UE i in the same cell."
What is the function of the Message Infrastructure in CMF (conflict mitigation framework)?,"['To detect conflicts between xApps', 'To optimize network performance', 'To configure the O-RAN infrastructure', 'To redirect control messages from xApps', 'To store data in the database']",3,Research publications,"The Message Infrastructure in the Near-RT RIC needs to be configured to redirect all control messages from xApps into the CM component, so that all RAN control messages can be evaluated by CMF."
What is SDN's advantage over conventional networks?,"['SDN does not require any hardware components', 'SDN is primarily used in data centers', 'SDN makes network control directly programmable and simplifies network design and operation', 'SDN has higher performance than conventional networks', 'SDN provides more reliable network connections']",2,Research overview,SDN makes network control directly programmable and simplifies network design and operation.
What can an NG-RAN node do with the paging enhancements mechanism? [3GPP Release 18],"['Page all UEs within a cell', 'Page specific UE groups', 'Page UE(s) in a restricted area using certain SSB(s)', 'Page UEs located in neighboring cells']",2,Standards specifications,"With the paging enhancements mechanism, an NG-RAN node can page UE(s) in a restricted area using certain SSB(s) instead of paging all UEs within a cell."
What is the purpose of the S1G Sector Operation element in the Beacon frame? [IEEE 802.11],"['To indicate the duration of the current sector transmissions.', 'To provide information related to the type of sectorization operation.', 'To indicate if the Beacon frame is sectorized or not.', 'To identify the ID of the active sector.', 'To allocate a group ID to the STA for sectorization purposes.']",1,Standards specifications,The purpose of the S1G Sector Operation element in the Beacon frame is to provide information related to the type of sectorization operation.
What is an advantage of self-supervised representation learning?,"['It requires a large amount of manually annotated data', 'It is computationally expensive', 'It can be applied only to simple recognition tasks', 'It can improve learning with comparatively little task-specific annotated data', 'It cannot be used in application areas with rare or costly data']",3,Research publications,"Self-supervised representation learning can improve learning with comparatively little task-specific annotated data, making it scalable in application areas with limited data."
What is the purpose of using OFDMA (orthogonal frequency division multiple access) in WLANs (wireless local-area networks)?,"['To adapt to the instantaneous channel occupancy', 'To reduce the interference among neighboring WLANs', 'To divide the channel width into multiple narrow channels', 'All of the above', 'None of the above']",3,Research publications,"The purpose of using OFDMA in WLANs is to adapt to the instantaneous channel occupancy, reduce the interference among neighboring WLANs, and divide the channel width into multiple narrow channels."
How is V2X authorization between the UE and the V2X Control Function conducted? [3GPP Release 14],"['Over the V1 interface', 'Over the V2 interface', 'Over the V3 interface', 'Over the V4 interface', 'Over the V5 interface']",2,Standards overview,V2X authorization between the UE and the V2X Control Function is conducted over the V3 interface.
What is the random feature approach (RF) in machine learning?,"['A method that uses fixed parameters to optimize a linear model', 'A method that employs random features to learn a linear model', 'A method that uses a fixed scaling for feature functions', 'A method that uses gradient descent to learn model parameters', 'A method that employs Gaussian distributions for feature functions']",1,Research overview,The random feature approach (RF) in machine learning employs random features to learn a linear model.
Which wireless communication technology is commonly used for short-range data exchange between devices?,"['LTE', 'WiMAX', 'Bluetooth', 'Satellite Communication']",2,Lexicon,"Bluetooth is a wireless technology used for short-range data exchange between devices such as smartphones, headphones, and speakers."
What is one advantage of quantizing tensors?,"['Increased computation and memory requirements', 'Reduced storage and off-chip memory accesses', 'Increased area and power consumption', 'Reduced bus sizes and bandwidth requirements', 'Increased execution time and energy']",1,Research overview,Quantization reduces storage requirements and accesses to off-chip memory.
What is the frequency range in which the downlink positioning reference signal resource is generally associated with a beamformed transmission?,"['2G', '3G', '4G', '5G', 'mmWave bands']",4,Standards overview,"The document states that in the frequency range 2 (mmWave bands), the downlink positioning reference signal resource is generally associated with a beamformed transmission."
What does the whitening process in receiving signals achieve?,"['Equalizes the received power in all directions', 'Reduces interference plus noise power', 'Enhances desired signal power', 'All of the above']",3,Research publications,"The whitening process equalizes power in all directions, reduces interference plus noise power, and enhances desired signal power."
What challenge does fog computing aim to address?,"['Ensuring end-to-end latency in multi-domain networks', 'Processing large amounts of data generated by IoT devices', 'Optimizing content placement strategies', 'Improving inter-domain caching']",1,Research overview,Fog computing extends cloud computing to the edge to handle the large volume of data generated by IoT devices.
What is the purpose of the error correction mechanism in FDST (frequency-domain sparse transmission)?,"['To improve the security of user identification', 'To correct errors in the received packet', 'To optimize the channel estimation', 'To increase the sparsity of subcarriers']",1,Research publications,"The error correction mechanism in FDST is used to correct errors in the received packet, especially when there is a mismatch between the supports of the base station and the user equipment."
What is the objective of 802.11be?,"['Enabling new MAC and PHY modes of operation capable of supporting a maximum throughput of at least 30 Gbps', 'Ensuring backward compatibility and coexistence with legacy 802.11 devices in the 2.4, 5 and 6 GHz unlicensed bands', 'Defining at least one mode of operation capable of improved worst case latency and jitter', 'All of the above']",3,Research publications,"The objective of 802.11be is to enable new MAC and PHY modes of operation with high throughput, ensure backward compatibility, and define improved latency and jitter."
What is a common solution concept used in non-cooperative game theory?,"['Shapley value', 'Core', 'Nash equilibrium', 'Stable state', 'Mixed strategy']",2,Research publications,"A common solution concept in non-cooperative game theory is the Nash equilibrium, where no player can improve its utility by unilaterally changing its action."
What happens if the UE ignores the scheduling DCI when the first uplink symbol to carry the corresponding CSI report(s) starts earlier than at symbol Zref? [3GPP Release 17],"['The UE may ignore the scheduling DCI if no HARQ-ACK or transport block is multiplexed on the PUSCH', 'The UE is not required to update the CSI for the n-th triggered CSI report', 'The UE may ignore the scheduling DCI if the number of triggered reports is one and no HARQ-ACK or transport block is multiplexed on the PUSCH', 'The UE should transmit the CSI report(s) on the PUSCH indicated by the DCI', 'The UE should provide a valid CSI report for the n-th triggered report']",0,Standards specifications,"If the first uplink symbol to carry the corresponding CSI report starts earlier than at symbol Zref, the UE may ignore the scheduling DCI if no HARQ-ACK or transport block is multiplexed on the PUSCH."
What is the minimum change in presynaptic potential required to affect synaptic processes? [IEEE C95.1],"['1 V', '100 mV', '10 mV', '1 mV']",3,Standards specifications,"Synaptic processes can be affected by altering the presynaptic membrane potential by less than 1 mV, and possibly by as little as 60 μV."
What is the purpose of maintaining distinct roles in Vehicular Public Key Infrastructure schemes?,"['To prevent abuse of anonymity by malicious clients', 'To separate the long-term identification of vehicles from their short-term identities', 'To ensure Vehicular Public Key Infrastructure servers are fully trustworthy', 'To improve the overall trustworthiness of Vehicular Communication']",1,Research publications,"The purpose of maintaining distinct roles in Vehicular Public Key Infrastructure schemes is to separate the long-term identification of vehicles from their short-term identities, ensuring privacy and preventing the breach of user privacy."
What does the Mobility Domain bit being set to 1 indicate? [IEEE 802.11],"['The BSSID is including an MDE in its Beacon frames', 'The BSSID is an HT AP including the HT Capabilities element in its Beacons', 'The BSSID is a VHT AP', 'The BSSID has set the Fine Timing Measurement Responder field of the Extended Capabilities element to 1', 'The BSSID is not available']",0,Standards specifications,The Mobility Domain bit being set to 1 indicates that the AP represented by this BSSID is including an MDE in its Beacon frames.
What is the maximum number of network slice instances (NSIs) that a user equipment (UE) can be served by?,"['4 NSIs', '6 NSIs', '8 NSIs', '10 NSIs', '12 NSIs']",2,Standards overview,"According to 3GPP, a UE can be served by at most 8 network slice instances (NSIs) concurrently over a single NG-RAN."
What is the purpose of the source port field in a TCP communication? [TCP/IP],"['To identify the protocol', 'To identify the server', 'To identify the data packet', 'To identify the IP address', 'To identify the client']",4,Standards overview,The source port field in a TCP communication is used to identify the client initiating the communication.
What are the representative benefits of Aeronautical Ad-hoc Networks?,"['Extended coverage, reduced communication cost, and reduced latency', 'Reduced coverage, increased communication cost, and increased latency', 'Limited coverage, expensive communication cost, and high latency', 'No coverage, no communication cost, and very high latency', 'Unreliable coverage, variable communication cost, and variable latency']",0,Research overview,"The representative benefits of Aeronautical Ad-hoc Networks are extended coverage, reduced communication cost, and reduced latency."
What is the purpose of the TCLAS Mask Elements field in the MSCS Descriptor element? [IEEE 802.11],"['To specify how incoming MSDUs are classified into streams in MSCS.', 'To indicate the maximum duration the STA needs to remain on the channel to receive a GAS response.', 'To identify one or more elements that are not inherited by the BSS corresponding to the nontransmitted BSSID profile.', 'To define the maximum limit for the UP assigned to incoming MSDUs.']",0,Standards specifications,The TCLAS Mask Elements field contains zero or more TCLAS Mask elements to specify how incoming MSDUs are classified into streams in MSCS.
When is AS security applied in the SDT procedure? [3GPP Release 18],"['Before initiating the SDT procedure.', 'During the ongoing SDT procedure.', 'After successful completion of the SDT procedure.', 'Before the UE transitions to RRC_IDLE state.', 'Before the UE transitions to RRC_CONNECTED state.']",1,Standards specifications,AS security is applied for all the radio bearers enabled for SDT during the ongoing SDT procedure.
What is the main difference between AANETs (Aircraft Ad-hoc Networks) and FANETs (Flying it ad hoc Networks) in terms of mobility?,"['AANETs have higher velocity and more frequent topology changes', 'FANETs have higher velocity and more frequent topology changes', 'AANETs have lower velocity and less frequent topology changes', 'FANETs have lower velocity and less frequent topology changes', 'AANETs and FANETs have the same velocity and topology changes']",0,Research overview,AANETs have a significantly higher velocity than FANETs and require mobility models characterizing high Doppler wireless channel fluctuations and more frequent topology changes.
What is one of the main challenges faced by UAVs (Unmanned Aerial Vehicles) in cellular networks with regards to downlink transmissions?,"['Insufficient signal strength from the serving BS', 'High-power interfering reference signals from neighboring BSs', 'Interference from GUE-generated uplink transmissions', 'Interference from multiplicity of ground BSs transmitting towards other GUEs or UAVs', 'All of the above']",3,Research overview,"One of the main challenges faced by UAVs in cellular networks with regards to downlink transmissions is the interference from a multiplicity of ground BSs that transmit towards other GUEs or UAVs, due to the UAV's ability to receive line-of-sight transmissions from a large number of BSs."
What is a group call initiator?,"['A member (or third party) authorised to initiate a group call', 'A logical entity that provides the group call service', 'A member of a group participating in a particular group call', 'The member responsible for the group creation and membership control', 'An MS identifier allocated by the serving MSC']",0,Lexicon,A group call initiator is a member (or third party) authorised to initiate a group call.
What is the advantage of optical homodyne detection?,"['Improved receiver sensitivity', 'Reduced receiver bandwidth requirement', 'Both improved receiver sensitivity and reduced receiver bandwidth requirement', 'None of the above']",2,Research publications,Optical homodyne detection offers a potential 3 dB improvement in receiver sensitivity and eases the receiver bandwidth requirement considerably.
What is the Duration/ID field value in a CTS frame if there is no response frame? [IEEE 802.11],"['Estimated time to transmit the pending frame', 'Estimated time to transmit the pending frame plus one SIFS plus the response frame', 'Estimated time to transmit the pending frame plus one SIFS', 'Estimated time to transmit the pending frame plus one CTS frame plus explicit feedback', 'Estimated time to transmit the pending frame plus one CTS frame']",2,Standards specifications,"The Duration/ID field is set to the time required to transmit the pending frame, plus one SIFS, when there is no response frame."
What is one drawback of learning the combining weights along with the model parameters in federated learning?,"['Increased amount of communications between users and the server.', 'Limited computational resources on the server.', 'Difficulties in finding an optimal solution.', 'Leakage of information about individual data samples.', 'Dependence on unreliable users in the network.']",0,Research publications,Learning the combining weights along with the model parameters would involve an increased amount of communications between users and the server.
What is the formula for the relative entropy between two probability density functions?,"['D(f||g) = -∫f(x) log(f(x)/g(x)) dx', 'D(f||g) = -∫f(x) log(g(x)/f(x)) dx', 'D(f||g) = -∫f(x) log(f(x)g(x)) dx', 'D(f||g) = -∫f(x) log(g(x)f(x)) dx']",0,Research publications,"The relative entropy between two probability density functions f and g is equal to the negative integral of f(x) multiplied by the logarithm of the ratio of f(x) and g(x), with respect to x."
Why is the use of deep MLP (Multi-layer perceptron) alone declined for network traffic classification?,"['It has low accuracy', 'It is inefficient', 'It is hard to train for arbitrary complicated problems', 'All of the above']",3,Research publications,"The use of deep MLP alone has declined for network traffic classification due to its low accuracy, inefficiency, and difficulty in training for arbitrary complicated problems."
What is deep learning?,"['A part of AI that refers to a broad field of developing intelligent machines.', 'A machine learning approach that aims to precisely simulate the workings of the human brain.', ""A sub-area of brain-inspired computing that aims to emulate the brain's functionality."", 'A neural network with more than three layers.', 'A type of unsupervised learning where the network is not labeled.']",3,Research overview,"Deep learning refers to neural networks that have more than three layers, typically ranging from five to more than a thousand layers."
What is the purpose of federated learning in edge machine learning?,"['To transmit raw local queue length samples', 'To optimize the wireless streaming of high definition 360$^\\circ$ VR videos', 'To leverage multi-user transmission techniques', 'To reduce the amount of data exchange among edge devices', 'To perform machine learning inference and training processes']",3,Research overview,"According to the document, federated learning is used in edge machine learning to reduce the amount of data exchange among edge devices."
What needs to be changed or added based on the analytics information of Application AI/ML traffic transmission status? [3GPP Release 18],"['UE equipment', 'UPF', 'AF', 'PCF']",1,Standards specifications,"Based on the analytics information, the SMF determines whether the PSA UPF needs to be changed or additional PSA UPF needs to be added."
What makes UAV (Unmanned aerial vehicle) systems severely vulnerable in the presence of active eavesdroppers?,"['The absence of position information of the eavesdroppers', ""The UAV's limited transmission power"", 'The presence of LoS channels', 'The availability of the CSI of the legitimate receiver to the active eavesdropper']",3,Research publications,"The availability of the CSI of the legitimate receiver to the active eavesdroppers makes UAV systems severely vulnerable, as the active eavesdroppers can efficiently interfere with the legitimate receiver."
Research Papers,"['To code a future frame in a pyramid coding structure', 'To directly display a frame from the decoded frame buffer', 'To synthesize a frame using temporal filtering', 'To optimize the overall rate-distortion performance', 'To reduce the collective prediction errors among several display frames']",4,Research publications,An ARF is used to reduce the collective prediction errors among several display frames and optimize the overall rate-distortion performance.
What is the typical height of base stations in the UMi scenario? [3GPP Release 17],"['10m', '25m', '1.5-2.5m', '2-3m', 'Not specified']",0,Standards specifications,"The document states that in the UMi scenario, the base stations are mounted below rooftop levels of surrounding buildings. It also specifies that the typical height of base stations in the UMi scenario is 10m."
What is the main characteristic of 5G? [3GPP Release 15],"['Mobile Edge Computing', 'Deeper use of Network Slicing', 'Introduction of a new radio interface', 'Network Capability Exposure']",2,Standards overview,"The main characteristic of 5G is the introduction of a new radio interface, the New Radio (NR), which offers the flexibility needed to support different types of services."
What are the three typical probability distribution models used for characterizing random wireless fading?,"['Gaussian fading, Log-normal fading, Weibull fading', 'Rayleigh fading, Rice fading, Nakagami fading', 'Uniform fading, Exponential fading, Gamma fading', ""Poisson fading, Chi-squared fading, Student's t fading""]",1,Research overview,"The three typical probability distribution models used for characterizing random wireless fading are Rayleigh fading, Rice fading, and Nakagami fading."
What is fast session transfer (FST)?,"['A set of interconnected basic service sets (BSSs)', 'A session transfer from one channel to another channel', 'A modulation scheme using Gaussian frequency shift keying (GFSK)', 'Change of association between STAs in a wireless network', 'The transfer of a session from one channel to another channel']",4,Lexicon,"Fast session transfer (FST) refers to the transfer of a session from one channel to another channel, in the same or different frequency bands."
What is the main advantage of reconfigurable intelligent surface (RIS) technology?,"['Increased battery life for devices', 'Large path loss attenuation', 'Improved spectral efficiency', 'Reduced interference from APs', 'Low power consumption and low cost']",4,Research publications,"Reconfigurable intelligent surface (RIS) technology requires only low power consumption and low cost, addressing the shortcomings of CF architecture in future communications."
What information does the EAS address and DNAI Mapping Information record in UDR provide? [3GPP Release 18],"['EAS address information', 'DNAI mapping information', 'DNN and S-NSSAI', 'AF Identifier']",1,Standards specifications,The EAS address and DNAI Mapping Information record in UDR provides DNAI mapping information.
What are the constraints of HD wireless/mobile VR (Virtual Reality)?,"['Limited resolution and computing power', 'Limited bandwidth and latency', 'Limited frame rates and visual acuity', 'Limited GPU power and heat generation']",1,Research publications,"The constraints of HD wireless/mobile VR are limited bandwidth and latency, which prevent streaming high-resolution video at high frame rates."
What is the purpose of the use-case specific network slicing (US-NSI)?,"['To support a specific use case of a vertical', 'To provide SLAs to multiple use cases of a vertical', 'To allocate resources to the 5G network slicing system', 'To manage and orchestrate P/V-NFs and their resources', 'To enable UE management and communication']",0,Standards overview,The purpose of the US-NSI is to support a specific use case (out of a group of use cases) of a vertical.
What does the intensity measure of a point process represent?,"['The average distance between points in the process.', 'The average number of points in a given region.', 'The total power transmitted by the points in the process.', 'The total interference caused by the points in the process.']",1,Research overview,The intensity measure of a point process represents the average number of points in a given region.
Which of the following is not a characteristic of massive machine type of communication in cellular networks?,"['Sporadic traffic', 'Large payload', 'Low power consumption', 'Limited capacity', 'Extensive coverage']",1,Research overview,"A characteristic of massive machine type of communication in cellular networks is a small payload, not large payload."
What is DeCAST?,"['A blockchain-based framework for Web 3.0', 'A federated learning-based approach for Web 3.0', 'A semantic extraction technique for Web 3.0', 'A parallel intelligent transportation system', 'A unified framework for Web 3.0']",3,Research publications,DeCAST utilizes the integration of blockchain and federated learning to construct parallel intelligent transportation systems.
How does the outage probability behave in relay-assisted SWIPT (Simultaneous wireless information and power transfer) systems compared to conventional systems?,"['The outage probability is not affected by the SNR in relay-assisted SWIPT systems', 'The outage probability decays faster with increasing SNR in relay-assisted SWIPT systems', 'The outage probability remains constant with increasing SNR in relay-assisted SWIPT systems', 'The outage probability decays slower with increasing SNR in relay-assisted SWIPT systems']",3,Research publications,"In relay-assisted SWIPT systems, the outage probability with an EH relay decays slower with increasing SNR compared to conventional systems."
